order_purchase_timestamp,product_category_name_english,sales_volume,revenue
2017-07-25,construction_tools_lights,1,360
2017-08-06,construction_tools_lights,1,360
2017-08-29,construction_tools_lights,1,229
2017-09-12,construction_tools_lights,1,229
2017-10-12,construction_tools_lights,1,250
2017-10-30,construction_tools_lights,1,250
2017-11-05,construction_tools_lights,1,250
2017-11-08,construction_tools_lights,1,250
2017-11-15,construction_tools_lights,3,74.97
2017-11-22,construction_tools_lights,1,250
2017-11-24,construction_tools_lights,3,750
2017-11-27,construction_tools_lights,1,399.5
2017-11-28,construction_tools_lights,1,250
2017-12-06,construction_tools_lights,2,176
2017-12-29,construction_tools_lights,2,176
2018-01-13,construction_tools_lights,1,250
2018-01-14,construction_tools_lights,1,250
2018-01-18,construction_tools_lights,1,1290
2018-01-19,construction_tools_lights,1,44.99
2018-01-20,construction_tools_lights,3,750
2018-01-30,construction_tools_lights,1,58
2018-02-04,construction_tools_lights,1,297
2018-02-05,construction_tools_lights,1,120
2018-02-14,construction_tools_lights,8,655.94
2018-02-22,construction_tools_lights,15,749.85
2018-02-25,construction_tools_lights,3,134.97
2018-02-28,construction_tools_lights,5,538.85
2018-03-03,construction_tools_lights,1,250
2018-03-06,construction_tools_lights,3,119.7
2018-03-08,construction_tools_lights,1,297
2018-03-16,construction_tools_lights,1,250
2018-03-17,construction_tools_lights,2,325.9
2018-03-19,construction_tools_lights,1,250
2018-03-22,construction_tools_lights,2,500
2018-03-26,construction_tools_lights,1,37
2018-03-27,construction_tools_lights,1,250
2018-03-30,construction_tools_lights,1,297
2018-04-04,construction_tools_lights,3,119.97
2018-04-06,construction_tools_lights,1,80
2018-04-07,construction_tools_lights,1,120
2018-04-10,construction_tools_lights,2,128
2018-04-11,construction_tools_lights,16,915
2018-04-12,construction_tools_lights,3,510
2018-04-13,construction_tools_lights,4,480
2018-04-14,construction_tools_lights,3,470
2018-04-15,construction_tools_lights,1,120
2018-04-16,construction_tools_lights,2,240
2018-04-17,construction_tools_lights,3,360
2018-04-19,construction_tools_lights,1,49.99
2018-04-20,construction_tools_lights,9,480
2018-04-22,construction_tools_lights,3,274.99
2018-04-23,construction_tools_lights,13,1550
2018-04-24,construction_tools_lights,2,240
2018-04-27,construction_tools_lights,2,200
2018-04-30,construction_tools_lights,4,209.6
2018-05-02,construction_tools_lights,2,275
2018-05-04,construction_tools_lights,1,230
2018-05-06,construction_tools_lights,1,100
2018-05-07,construction_tools_lights,1,169.99
2018-05-08,construction_tools_lights,1,169.99
2018-05-10,construction_tools_lights,3,1617
2018-05-11,construction_tools_lights,27,1724.94
2018-05-13,construction_tools_lights,1,100
2018-05-14,construction_tools_lights,10,924.99
2018-05-15,construction_tools_lights,2,299.99
2018-05-16,construction_tools_lights,1,45
2018-05-17,construction_tools_lights,2,90
2018-05-18,construction_tools_lights,3,429.89
2018-05-20,construction_tools_lights,1,230
2018-05-22,construction_tools_lights,1,45
2018-05-24,construction_tools_lights,1,45
2018-05-25,construction_tools_lights,1,230
2018-05-27,construction_tools_lights,1,230
2018-05-29,construction_tools_lights,1,169.99
2018-06-02,construction_tools_lights,2,644.99
2018-06-03,construction_tools_lights,4,489.99
2018-06-04,construction_tools_lights,3,135
2018-06-05,construction_tools_lights,2,399.99
2018-06-06,construction_tools_lights,3,138
2018-06-07,construction_tools_lights,3,261.99
2018-06-09,construction_tools_lights,2,343.3
2018-06-11,construction_tools_lights,1,29
2018-06-12,construction_tools_lights,6,276
2018-06-14,construction_tools_lights,1,169.99
2018-06-15,construction_tools_lights,1,29
2018-06-18,construction_tools_lights,1,169.99
2018-06-19,construction_tools_lights,5,477.98
2018-06-20,construction_tools_lights,1,29
2018-06-21,construction_tools_lights,1,46
2018-06-23,construction_tools_lights,15,690
2018-06-24,construction_tools_lights,1,46
2018-06-25,construction_tools_lights,1,113.3
2018-06-26,construction_tools_lights,2,229.99
2018-06-27,construction_tools_lights,3,316.6
2018-06-28,construction_tools_lights,1,169
2018-06-30,construction_tools_lights,1,113.3
2018-07-01,construction_tools_lights,2,261.72
2018-07-03,construction_tools_lights,1,124.17
2018-07-06,construction_tools_lights,1,129.9
2018-07-08,construction_tools_lights,5,749.95
2018-07-09,construction_tools_lights,3,44.7
2018-07-14,construction_tools_lights,4,451.88
2018-07-16,construction_tools_lights,27,956.5
2018-07-17,construction_tools_lights,5,718.85
2018-07-18,construction_tools_lights,2,456
2018-07-20,construction_tools_lights,6,559.58
2018-07-21,construction_tools_lights,2,1266
2018-07-22,construction_tools_lights,1,228
2018-07-23,construction_tools_lights,2,303
2018-07-25,construction_tools_lights,2,108.9
2018-07-27,construction_tools_lights,2,116
2018-07-28,construction_tools_lights,11,487
2018-07-29,construction_tools_lights,1,119.9
2018-07-30,construction_tools_lights,2,554
2018-07-31,construction_tools_lights,6,954
